queue,n_threads,throughput_mops_mean,throughput_mops_std,throughput_mops_min,throughput_mops_max,e2e_p50_mean,e2e_p50_std,e2e_p50_min,e2e_p50_max,e2e_mean_mean,e2e_mean_std,e2e_mean_min,e2e_mean_max,e2e_p99_mean,e2e_p99_std,e2e_p99_min,e2e_p99_max,e2e_p999_mean,e2e_p999_std,e2e_p999_min,e2e_p999_max,enq_p50_mean,enq_p50_std,enq_p50_min,enq_p50_max,deq_p50_mean,deq_p50_std,deq_p50_min,deq_p50_max,n_trials
MutexQueue,1,8.99197206234518,0.005098105429462115,8.985325138904,8.996903799903237,196.2,0.44721359549995915,196.0,197.0,196.82599,0.6131273264583759,196.50839,197.91794,200.4,0.8944271909999143,200.0,202.0,203.4,0.5477225575051667,203.0,204.0,42.0,0.0,42.0,42.0,43.2,0.44721359549995865,43.0,44.0,5
MutexQueue,2,3.8870408573484254,0.16379833297184548,3.695861405197305,4.048454945124458,1081.6,73.96485651983654,998.0,1163.0,1042.086016,59.928411276459194,959.05941,1118.96368,2609.8019999999988,97.58763251559931,2473.0,2739.0099999999948,3532.203600000014,244.0321202368614,3230.0020000000077,3826.0020000000077,198.6,24.935917869611295,172.0,232.0,264.4,36.5349148076193,223.0,323.0,5
MutexQueue,4,2.643015304067913,0.15784745389668078,2.42568956858732,2.826490992400125,2660.4,150.53670648715544,2494.0,2842.0,3112.441796,111.0056467791803,2981.75485,3259.24524,11075.41999999999,237.57656713151914,10729.0,11378.029999999984,16518.02300000009,404.4953724728647,15910.038000000146,17043.0,652.0,296.3815108943201,363.0,1003.0,575.0,199.7661132424616,415.0,853.0,5
MutexQueue,8,2.3862868977180716,0.14863361699014416,2.2045589590348165,2.5664589216194087,5758.8,298.4370955494641,5357.0,6117.0,6676.546036,374.079990098746,6276.91401,7154.06458,21702.613999999994,717.9556978532856,20821.009999999995,22651.01999999999,31957.3308000005,429.199066399563,31525.14600000056,32599.147000000565,1520.4,1078.095450319683,277.0,2423.0,1288.5,769.409838772549,441.0,2009.0,5
MutexQueue,16,2.446433152392635,0.10224047104572664,2.3062716776024383,2.5554512966918885,11939.1,470.632340580203,11328.0,12354.5,13090.529862,484.8830773433528,12619.76406,13718.94309,40583.27399999996,1853.1025013015603,38585.09999999995,43208.049999999974,59435.901000000384,3346.402173706735,55788.056000000215,62654.0530000002,1380.2,2380.571927079709,243.0,5637.0,1337.4,1921.2903997053647,454.0,4774.0,5
MutexQueue,32,2.300841163237491,0.07575316215461915,2.230632273879819,2.4179761413760423,26711.2,446.0253075779447,26153.5,27153.0,27947.082558000002,905.8843908524793,26522.36994,28770.13569,79750.73599999993,2740.1409578030953,76740.03999999998,83807.14999999992,117765.94960000133,4683.734818280633,113151.3380000013,124495.42600000164,5360.7,6717.600181612478,279.0,12852.5,5482.3,6644.588471079304,502.0,12845.0,5
MutexQueue,48,1.9544299761917636,0.0930095277034881,1.827609757722722,2.070527337431252,46267.8,1179.3274884441562,44904.0,47842.0,48911.92477,2535.0037893848917,45447.75573,52137.96905,131228.95799999993,4497.130178243722,124592.30999999984,137211.07999999996,186965.8658000018,6775.086408691349,177001.3830000015,194447.7230000028,17624.2,9562.5256966975,531.0,22367.0,17361.3,9272.230554187056,793.0,22070.5,5
MutexQueue,64,1.9683755216265602,0.06067993826986411,1.9071221576305994,2.048365974720817,61686.9,1353.0900007020962,59729.0,63524.0,65499.008562,2386.9915884929337,62461.8671,67985.39326,174289.75199999992,3041.7220373531554,170128.07999999996,177496.31999999983,254937.17620000144,11598.420349312017,241371.47600000183,272245.4670000018,23243.8,12629.642857183255,699.0,30202.0,23286.4,12565.806134108549,1021.0,31793.0,5
MutexQueue,96,1.646040310432556,0.08658492605073743,1.5849692086711025,1.795987091342781,105883.0,4680.515943782267,97687.0,109142.0,116770.388852,6110.107610870796,105959.07731,120435.23243,298083.1839999998,11789.390568088229,277536.04,306553.5699999997,418468.24740000017,19890.93145536783,384852.0380000002,435893.03500000015,48046.2,1817.889628112774,45240.0,49829.0,47260.4,1696.2177926198042,44781.0,49097.0,5
MutexQueue,144,1.68344672021422,0.0708270077181227,1.568597898727145,1.7607769447692414,159090.4,6196.551121390028,155313.0,170107.0,169878.49123786917,8091.054631396231,160345.14121143814,182234.5258575119,445870.43999999936,25235.838544974195,409228.3999999992,479761.79999999946,611431.4840000103,23299.676046381683,586127.7600000426,649366.1600000007,75124.0,2757.5752936230037,71818.0,79234.0,73690.6,2627.7993264326715,70437.0,77534.0,5
MutexQueue,192,1.6141684016324749,0.043355332454274455,1.573573795078894,1.6784060387650603,218260.8,3895.48627580691,215069.5,222744.5,235906.48021,7850.54650250598,224258.16884,243732.77489,611269.3619999995,30388.19358023603,560061.0,635747.1999999983,877903.4668000026,31676.523560624453,844918.3520000052,911282.791000003,101252.5,2114.562927651954,98270.5,103506.0,100666.6,2255.6333201564494,97564.5,103328.0,5
TwoLockQueue,1,9.008957975559726,0.004510641086153454,9.003812551877438,9.015968124796025,202.0,0.0,202.0,202.0,202.312294,0.051189816663080895,202.2293,202.36548,206.0,0.0,206.0,206.0,208.0,0.0,208.0,208.0,49.0,0.0,49.0,49.0,42.0,0.0,42.0,42.0,5
TwoLockQueue,2,4.585278333927173,0.22063370756592024,4.374946594890199,4.824969215691202,888.8,81.40454532764126,751.0,943.0,995.4768819999999,36.61700558422373,936.20457,1033.13164,2431.601999999999,193.92004027433484,2162.0,2649.0,3214.6016000000063,358.93976806881943,2789.0030000000115,3610.001000000004,272.0,13.693063937629148,252.0,290.0,348.0,13.892443989449811,328.0,363.0,5
